rank,generation,fitness,route_json
1,625,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
2,626,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
3,627,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
4,628,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
5,629,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
6,630,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
7,631,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
8,632,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
9,633,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
10,634,15172.848671,"[[1252, 443], [1469, 687], [1449, 554], [1290, 329], [749, 1], [668, 433], [1050, 519], [1146, 336], [1421, 583], [1469, 800], [1464, 573], [1456, 499], [916, 436], [598, 316], [855, 299], [1027, 358], [1080, 412], [1462, 743], [1460, 432], [1374, 290], [1267, 171], [1190, 219], [1067, 314], [875, 116], [451, 412], [1240, 549], [1440, 346], [1460, 614], [1435, 695], [1425, 756], [1310, 489], [1144, 502], [1182, 402], [1300, 414], [1423, 195], [1117, 21], [1067, 184], [862, 253], [453, 341], [503, 129], [540, 155], [706, 242], [1268, 103], [1352, 224], [1362, 461], [1490, 709], [1485, 728], [884, 510]]"
